lap,position,seconds,nationality,drivername,name,time_gap
27,1,75.508,Finnish,Valtteri Bottas,Dutch Grand Prix,6049.0
28,1,75.963,Finnish,Valtteri Bottas,Dutch Grand Prix,20189.0
29,1,76.043,Finnish,Valtteri Bottas,Dutch Grand Prix,2608.0
30,2,76.974,Finnish,Valtteri Bottas,Dutch Grand Prix,9775.0
31,3,82.297,Finnish,Valtteri Bottas,Dutch Grand Prix,26792.0
32,3,92.787,Finnish,Valtteri Bottas,Dutch Grand Prix,20936.0
33,3,75.049,Finnish,Valtteri Bottas,Dutch Grand Prix,6748.0
34,3,74.025,Finnish,Valtteri Bottas,Dutch Grand Prix,22496.0
35,3,74.142,Finnish,Valtteri Bottas,Dutch Grand Prix,20638.0
36,3,74.922,Finnish,Valtteri Bottas,Dutch Grand Prix,10396.0
37,3,75.694,Finnish,Valtteri Bottas,Dutch Grand Prix,5415.0
38,3,74.307,Finnish,Valtteri Bottas,Dutch Grand Prix,5416.0
39,3,74.199,Finnish,Valtteri Bottas,Dutch Grand Prix,5836.0
40,3,75.397,Finnish,Valtteri Bottas,Dutch Grand Prix,16938.0
41,3,74.96,Finnish,Valtteri Bottas,Dutch Grand Prix,23057.0
42,3,74.601,Finnish,Valtteri Bottas,Dutch Grand Prix,6105.0
43,3,74.632,Finnish,Valtteri Bottas,Dutch Grand Prix,21770.0
44,3,74.646,Finnish,Valtteri Bottas,Dutch Grand Prix,5833.0
45,3,74.412,Finnish,Valtteri Bottas,Dutch Grand Prix,19568.0
46,3,74.349,Finnish,Valtteri Bottas,Dutch Grand Prix,4008.0
47,3,74.366,Finnish,Valtteri Bottas,Dutch Grand Prix,5864.0
48,3,74.383,Finnish,Valtteri Bottas,Dutch Grand Prix,19267.0
49,3,74.857,Finnish,Valtteri Bottas,Dutch Grand Prix,5521.0
50,3,74.9,Finnish,Valtteri Bottas,Dutch Grand Prix,4776.0
51,3,74.722,Finnish,Valtteri Bottas,Dutch Grand Prix,4592.0
52,3,74.365,Finnish,Valtteri Bottas,Dutch Grand Prix,4715.0
53,3,74.334,Finnish,Valtteri Bottas,Dutch Grand Prix,5312.0
54,3,74.791,Finnish,Valtteri Bottas,Dutch Grand Prix,4633.0
55,3,74.273,Finnish,Valtteri Bottas,Dutch Grand Prix,3405.0
56,3,75.005,Finnish,Valtteri Bottas,Dutch Grand Prix,4243.0
57,3,74.108,Finnish,Valtteri Bottas,Dutch Grand Prix,7007.0
58,3,74.064,Finnish,Valtteri Bottas,Dutch Grand Prix,4540.0
59,3,74.366,Finnish,Valtteri Bottas,Dutch Grand Prix,4616.0
60,3,74.295,Finnish,Valtteri Bottas,Dutch Grand Prix,11889.0
61,3,74.555,Finnish,Valtteri Bottas,Dutch Grand Prix,8204.0
62,3,75.026,Finnish,Valtteri Bottas,Dutch Grand Prix,5468.0
63,3,76.27,Finnish,Valtteri Bottas,Dutch Grand Prix,3882.0
64,3,74.279,Finnish,Valtteri Bottas,Dutch Grand Prix,4356.0
65,3,75.52,Finnish,Valtteri Bottas,Dutch Grand Prix,4257.0
66,3,74.826,Finnish,Valtteri Bottas,Dutch Grand Prix,8417.0
67,3,79.564,Finnish,Valtteri Bottas,Dutch Grand Prix,6883.0
68,3,95.768,Finnish,Valtteri Bottas,Dutch Grand Prix,21613.0
69,3,72.549,Finnish,Valtteri Bottas,Dutch Grand Prix,51838.0
70,3,73.881,Finnish,Valtteri Bottas,Dutch Grand Prix,6327.0
71,3,75.369,Finnish,Valtteri Bottas,Dutch Grand Prix,18679.0
72,3,75.152,Finnish,Valtteri Bottas,Dutch Grand Prix,4055.0
1,4,81.662,French,Pierre Gasly,Dutch Grand Prix,19594.0
2,4,76.839,French,Pierre Gasly,Dutch Grand Prix,5314.0
3,4,76.483,French,Pierre Gasly,Dutch Grand Prix,5712.0
4,4,76.125,French,Pierre Gasly,Dutch Grand Prix,10462.0
5,4,76.235,French,Pierre Gasly,Dutch Grand Prix,37915.0
6,4,76.138,French,Pierre Gasly,Dutch Grand Prix,4462.0
7,4,76.352,French,Pierre Gasly,Dutch Grand Prix,5659.0
8,4,76.89,French,Pierre Gasly,Dutch Grand Prix,6463.0
9,4,76.552,French,Pierre Gasly,Dutch Grand Prix,18749.0
10,4,76.553,French,Pierre Gasly,Dutch Grand Prix,7195.0
11,4,76.752,French,Pierre Gasly,Dutch Grand Prix,19177.0
12,4,76.491,French,Pierre Gasly,Dutch Grand Prix,3635.0
13,4,76.666,French,Pierre Gasly,Dutch Grand Prix,4878.0
14,4,76.872,French,Pierre Gasly,Dutch Grand Prix,5709.0
15,4,76.313,French,Pierre Gasly,Dutch Grand Prix,3986.0
16,4,76.307,French,Pierre Gasly,Dutch Grand Prix,5421.0
17,4,76.578,French,Pierre Gasly,Dutch Grand Prix,3059.0
18,4,76.599,French,Pierre Gasly,Dutch Grand Prix,3055.0
19,4,76.452,French,Pierre Gasly,Dutch Grand Prix,3567.0
20,4,76.218,French,Pierre Gasly,Dutch Grand Prix,3871.0
