raceId,lap,leaderGap,driverId,drivername
1064,17,1.056,815,Sergio Pérez
1064,18,2.179,815,Sergio Pérez
1064,19,1.114,815,Sergio Pérez
1064,20,0.0,815,Sergio Pérez
1064,21,0.407,815,Sergio Pérez
1064,22,2.604,815,Sergio Pérez
1064,23,2.605,815,Sergio Pérez
1064,24,1.581,815,Sergio Pérez
1064,25,1.861,815,Sergio Pérez
1064,26,2.367,815,Sergio Pérez
1064,27,2.842,815,Sergio Pérez
1064,28,1.92,815,Sergio Pérez
1064,29,1.028,815,Sergio Pérez
1064,30,1.756,815,Sergio Pérez
1064,31,1.202,815,Sergio Pérez
1064,32,1.535,815,Sergio Pérez
1064,33,1.74,815,Sergio Pérez
1064,34,2.08,815,Sergio Pérez
1064,35,2.594,815,Sergio Pérez
1064,36,1.649,815,Sergio Pérez
1064,37,5.415,815,Sergio Pérez
1064,38,2.412,815,Sergio Pérez
1064,39,1.901,815,Sergio Pérez
1064,40,0.888,815,Sergio Pérez
1064,41,3.264,815,Sergio Pérez
1064,42,3.288,815,Sergio Pérez
1064,43,2.32,815,Sergio Pérez
1064,44,1.974,815,Sergio Pérez
1064,45,4.115,815,Sergio Pérez
1064,46,4.008,815,Sergio Pérez
1064,47,5.864,815,Sergio Pérez
1064,48,19.267,815,Sergio Pérez
1064,49,0.41,815,Sergio Pérez
1064,50,0.066,815,Sergio Pérez
1064,51,0.884,815,Sergio Pérez
1064,52,1.011,815,Sergio Pérez
1064,53,1.973,815,Sergio Pérez
1064,54,0.729,815,Sergio Pérez
1064,55,0.0,815,Sergio Pérez
1064,56,0.148,815,Sergio Pérez
1064,57,0.131,815,Sergio Pérez
1064,58,0.084,815,Sergio Pérez
1064,59,0.0,815,Sergio Pérez
1064,60,0.252,815,Sergio Pérez
1064,61,1.115,815,Sergio Pérez
1064,62,1.638,815,Sergio Pérez
1064,63,1.215,815,Sergio Pérez
1064,64,1.177,815,Sergio Pérez
1064,65,1.976,815,Sergio Pérez
1064,66,0.864,815,Sergio Pérez
1064,67,1.487,815,Sergio Pérez
1064,68,1.028,815,Sergio Pérez
1064,69,2.989,815,Sergio Pérez
1064,70,1.742,815,Sergio Pérez
1064,71,3.405,815,Sergio Pérez
1064,72,,815,Sergio Pérez
1064,1,7.906,817,Daniel Ricciardo
1064,2,3.463,817,Daniel Ricciardo
1064,3,3.043,817,Daniel Ricciardo
1064,4,2.991,817,Daniel Ricciardo
1064,5,2.743,817,Daniel Ricciardo
1064,6,3.013,817,Daniel Ricciardo
1064,7,3.037,817,Daniel Ricciardo
1064,8,2.788,817,Daniel Ricciardo
1064,9,3.253,817,Daniel Ricciardo
1064,10,3.782,817,Daniel Ricciardo
1064,11,3.574,817,Daniel Ricciardo
1064,12,2.723,817,Daniel Ricciardo
1064,13,2.422,817,Daniel Ricciardo
1064,14,2.348,817,Daniel Ricciardo
1064,15,2.532,817,Daniel Ricciardo
1064,16,2.359,817,Daniel Ricciardo
1064,17,1.675,817,Daniel Ricciardo
1064,18,1.669,817,Daniel Ricciardo
1064,19,1.489,817,Daniel Ricciardo
1064,20,1.715,817,Daniel Ricciardo
1064,21,1.273,817,Daniel Ricciardo
1064,22,3.025,817,Daniel Ricciardo
1064,23,2.698,817,Daniel Ricciardo
1064,24,2.912,817,Daniel Ricciardo
1064,25,2.669,817,Daniel Ricciardo
1064,26,1.883,817,Daniel Ricciardo
1064,27,2.727,817,Daniel Ricciardo
1064,28,2.554,817,Daniel Ricciardo
1064,29,1.923,817,Daniel Ricciardo
1064,30,5.343,817,Daniel Ricciardo
1064,31,21.011,817,Daniel Ricciardo
1064,32,2.211,817,Daniel Ricciardo
1064,33,1.934,817,Daniel Ricciardo
1064,34,2.829,817,Daniel Ricciardo
1064,35,1.996,817,Daniel Ricciardo
